predicted_tree_id,predicted_tree_height,predicted_tree_internal_area,observed_tree_id,observed_tree_height,observed_tree_internal_area,height_err
1,21.835695266723633,TRUE,918,20.4,TRUE,1.4356952667236342
9,28.88827896118164,TRUE,1769,28.3,TRUE,0.5882789611816399
11,22.43089485168457,TRUE,708,23.7,TRUE,-1.269105148315429
12,27.098094940185547,TRUE,790,25.9,TRUE,1.1980949401855483
13,24.359020233154297,TRUE,920,26.4,TRUE,-2.0409797668457017
15,25.43212890625,TRUE,1768,26.5,TRUE,-1.06787109375
19,32.27835464477539,TRUE,26,35,TRUE,-2.7216453552246094
27,33.8901481628418,TRUE,1781,32.5,TRUE,1.3901481628417969
30,26.35312271118164,FALSE,74,25.3,FALSE,1.05312271118164
32,18.094011306762695,FALSE,412,15.5,FALSE,2.5940113067626953
38,31.489559173583984,TRUE,339,26.8,TRUE,4.689559173583984
39,33.55764389038086,TRUE,2030,34,TRUE,-0.4423561096191406
40,11.023519515991211,FALSE,1463,11.2,FALSE,-0.17648048400878835
41,26.87322425842285,TRUE,282,21.9,TRUE,4.973224258422853
46,20.083580017089844,FALSE,399,22.5,FALSE,-2.4164199829101562
47,24.40054702758789,TRUE,1537,20.1,TRUE,4.300547027587889
57,13.310534477233887,FALSE,1032,11.2,FALSE,2.1105344772338874
60,30.448490142822266,TRUE,550,24.8,TRUE,5.648490142822265
65,29.740299224853516,TRUE,167,28.2,TRUE,1.5402992248535163
68,29.753528594970703,TRUE,1571,29.4,TRUE,0.35352859497070455
74,36.48592758178711,TRUE,554,26.4,TRUE,10.08592758178711
75,32.9124641418457,FALSE,2052,34.1,FALSE,-1.1875358581542983
79,36.13241195678711,TRUE,910,42.8,TRUE,-6.667588043212888
80,25.762008666992188,FALSE,1472,31,FALSE,-5.2379913330078125
83,35.436771392822266,TRUE,334,29.5,TRUE,5.936771392822266
84,29.249433517456055,TRUE,1245,30.6,TRUE,-1.3505664825439467
85,22.872013092041016,TRUE,1921,25.5,FALSE,-2.6279869079589844
87,21.902345657348633,TRUE,60,21.2,TRUE,0.7023456573486335
92,26.482036590576172,TRUE,223,32.1,TRUE,-5.6179634094238295
93,40.44966125488281,TRUE,1550,39.1,TRUE,1.349661254882811
94,10.240633010864258,FALSE,411,7.9,FALSE,2.3406330108642575
