predicted_tree_id,predicted_tree_height,predicted_tree_internal_area,observed_tree_id,observed_tree_height,observed_tree_internal_area,height_err
3,25.817237854003906,TRUE,774,25,TRUE,0.81723785400390625
4,37.79801559448242,TRUE,1010,39.3,TRUE,-1.5019844055175753
5,8.120588302612305,TRUE,1903,8.2,TRUE,-0.0794116973876946
6,34.25727844238281,FALSE,1200,32.6,FALSE,1.657278442382811
7,42.01658630371094,FALSE,1656,43.7,FALSE,-1.6834136962890653
9,22.438386917114258,TRUE,1,26.2,TRUE,-3.7616130828857415
12,31.70694351196289,FALSE,1033,26.4,FALSE,5.306943511962892
13,44.474220275878906,TRUE,1524,41,TRUE,3.4742202758789062
16,33.54507827758789,TRUE,870,33.3,TRUE,0.24507827758789347
19,14.601845741271973,TRUE,272,14.9,TRUE,-0.2981542587280277
20,47.281494140625,TRUE,1730,44.7,TRUE,2.581494140624997
22,37.5350341796875,TRUE,230,37,TRUE,0.5350341796875
25,16.657957077026367,TRUE,964,14.8,TRUE,1.8579570770263665
26,34.198978424072266,TRUE,681,35.5,TRUE,-1.3010215759277344
27,16.474748611450195,TRUE,2063,15.7,TRUE,0.774748611450196
28,12.58781909942627,TRUE,659,12,TRUE,0.5878190994262695
30,16.659141540527344,TRUE,967,14.4,TRUE,2.2591415405273434
31,29.131128311157227,TRUE,1087,23.7,TRUE,5.431128311157227
33,17.917993545532227,TRUE,1302,16.3,TRUE,1.6179935455322259
34,39.14759826660156,TRUE,647,45.4,TRUE,-6.252401733398436
36,13.020796775817871,TRUE,989,10.5,TRUE,2.520796775817871
39,31.429170608520508,TRUE,223,32.1,TRUE,-0.6708293914794936
40,24.974409103393555,TRUE,708,23.7,TRUE,1.2744091033935554
43,33.075294494628906,FALSE,1168,26.7,FALSE,6.375294494628907
44,12.537677764892578,TRUE,925,12.9,TRUE,-0.36232223510742223
46,36.65672302246094,TRUE,1402,36.4,TRUE,0.2567230224609389
48,10.219703674316406,TRUE,394,9.7,TRUE,0.519703674316407
49,10.297026634216309,FALSE,87,10.6,FALSE,-0.30297336578369105
50,31.54898452758789,TRUE,210,30,TRUE,1.5489845275878906
55,13.310534477233887,FALSE,1032,11.2,FALSE,2.1105344772338874
57,26.19635772705078,TRUE,778,24,TRUE,2.1963577270507812
61,14.397111892700195,TRUE,373,12.3,TRUE,2.0971118927001946
63,7.818427085876465,FALSE,298,5.6,FALSE,2.218427085876465
65,7.354094982147217,TRUE,292,8.2,TRUE,-0.8459050178527825
66,28.013181686401367,TRUE,274,28,TRUE,0.013181686401367188
68,35.42619705200195,TRUE,1967,34.2,TRUE,1.2261970520019503
70,20.018383026123047,TRUE,987,22.2,TRUE,-2.1816169738769524
71,32.7207145690918,TRUE,814,31.2,TRUE,1.5207145690917976
72,12.239374160766602,TRUE,193,13.3,TRUE,-1.0606258392333991
73,38.3697624206543,FALSE,1762,37,FALSE,1.3697624206542969
75,34.62810134887695,TRUE,1065,28.6,FALSE,6.028101348876952
78,24.955312728881836,TRUE,1271,24.1,TRUE,0.8553127288818345
81,32.23511505126953,FALSE,116,31.2,FALSE,1.035115051269532
82,46.66427230834961,TRUE,878,42.4,TRUE,4.264272308349611
83,41.37230682373047,TRUE,2068,39.5,TRUE,1.8723068237304688
84,8.936897277832031,TRUE,1521,6.5,TRUE,2.4368972778320312
85,29.058706283569336,FALSE,564,24.7,TRUE,4.358706283569337
87,20.881160736083984,FALSE,1890,20.2,FALSE,0.6811607360839851
89,45.20336151123047,TRUE,1352,43.2,TRUE,2.003361511230466
90,30.171571731567383,TRUE,270,29.3,TRUE,0.8715717315673821
91,20.69645881652832,FALSE,2116,19.6,FALSE,1.096458816528319
92,13.966455459594727,FALSE,2141,14.1,FALSE,-0.13354454040527308
93,25.43212890625,TRUE,1768,26.5,TRUE,-1.06787109375
95,15.242977142333984,TRUE,254,18.4,TRUE,-3.157022857666014
96,12.019845008850098,TRUE,660,12,TRUE,0.019845008850097656
99,29.724445343017578,TRUE,550,24.8,TRUE,4.924445343017577
101,9.689001083374023,FALSE,120,9.9,FALSE,-0.21099891662597692
