canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,422,868,426,514,0.486175115207373,0.828793774319066,0.612849341033211,1.84487239263634,1.07778930731859,24.3168246445498,25.3946139518684,0.962262804941335,0.94489045135757,0.0758681455989296,143.478260869565,-141.545893719807,336.231884057971,194.685990338164,0.567664567522525,23,0.426724137931035,ttops_ortho_dpf_000.1
all,20+,266,374,281,333,0.711229946524064,0.843843843843844,0.771882357800818,2.02309521624916,1.10490701933552,29.85,30.9549070193355,0.917107251018914,0.902754215882943,0.0677753841289502,37.6811594202899,-19.3236714975845,148.792270531401,129.468599033816,0.809108209294845,23,0.253246753246753,ttops_ortho_dpf_000.1
overstory,10+,410,634,416,514,0.646687697160883,0.809338521400778,0.71892835164094,1.75747648588041,0.894520991953408,24.650243902439,25.5447648943924,0.964495568260149,0.943840398121071,0.0712965150704458,48.792270531401,-42.0289855072464,236.714975845411,194.685990338164,0.66466720613126,23,0.206122448979592,ttops_ortho_dpf_000.1
overstory,20+,265,331,277,333,0.800604229607251,0.831831831831832,0.815919347308983,1.94364785464305,0.903721691347518,29.9501886792453,30.8539103705928,0.921347618716261,0.89012457170322,0.0648960136932275,28.0193236714976,-1.23632987905269e-15,129.468599033816,129.468599033816,0.789861095906597,23,0.21641791044776101,ttops_ortho_dpf_000.1
