canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,427,868,428,536,0.491935483870968,0.798507462686567,0.608805148773435,2.00417589772781,1.13678618571797,24.543793911007,25.680580096725,0.953966106554661,0.932721508806048,0.0816571352006424,137.68115942029,-136.714975845411,336.231884057971,199.51690821256,0.583130905373417,23,0.40948275862069,ttops_ortho_dpf_00.15
all,20+,275,374,297,366,0.735294117647059,0.811475409836066,0.771508728179551,2.10576170418479,1.06803396953236,29.7232727272727,30.7913066968051,0.908532776119678,0.873491752683097,0.0708455533650788,31.4009661835749,-8.21256038647343,148.792270531401,140.579710144928,0.857207641828074,23,0.211038961038961,ttops_ortho_dpf_00.15
overstory,10+,413,634,414,536,0.651419558359621,0.772388059701492,0.706764990368796,1.82374098502983,1.02185869978935,24.7861985472155,25.8080572470048,0.96326187023312,0.937939771516044,0.0735788903472136,47.8260869565217,-37.1980676328502,236.714975845411,199.51690821256,0.709373900007569,23,0.202040816326531,ttops_ortho_dpf_00.15
overstory,20+,271,331,290,366,0.818731117824773,0.792349726775956,0.805324425134238,1.91695655386386,1.00119692038786,29.770110701107,30.7713076214949,0.928746437550717,0.890755443754483,0.0643919860799369,24.6376811594203,11.1111111111111,129.468599033816,140.579710144928,0.836678615437674,23,0.190298507462687,ttops_ortho_dpf_00.15
