canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,468,868,468,635,0.539170506912442,0.737007874015748,0.622754491017964,1.98703208071554,1.13321155584775,23.9976495726496,25.1308611284973,0.956138421154235,0.94094214245548,0.0828011124464532,98.0676328502415,-93.2367149758454,336.231884057971,242.995169082126,0.640571488318405,23,0.291666666666667,ttops_ortho_dpf_000.5
all,20+,288,374,311,424,0.770053475935829,0.733490566037736,0.751327455898266,2.0577667163478,1.09530119034979,29.6274305555556,30.7227317459053,0.912758128755714,0.907455915852028,0.0694547815238045,32.3671497584541,17.8743961352657,148.792270531401,166.666666666667,0.908181273132286,23,0.217532467532467,ttops_ortho_dpf_000.5
overstory,10+,450,634,450,635,0.709779179810726,0.708661417322835,0.709219858156028,1.85263062010871,0.898796371671889,24.4057777777778,25.3045741494497,0.960874477029427,0.943876803003609,0.0759095095012947,30.4347826086957,6.28019323671498,236.714975845411,242.995169082126,0.770607672556444,23,0.128571428571429,ttops_ortho_dpf_000.5
overstory,20+,288,331,303,424,0.870090634441088,0.714622641509434,0.784730559115128,1.98538502918349,0.851249921984143,29.7131944444444,30.5644443664286,0.916600395623376,0.889914142756841,0.0668182962587756,37.1980676328502,37.1980676328502,129.468599033816,166.666666666667,0.914889506284794,23,0.287313432835821,ttops_ortho_dpf_000.5
