canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,451,868,456,579,0.519585253456221,0.787564766839378,0.626105699633298,2.02674560166251,1.20095959132632,24.2186252771619,25.4195848684882,0.951555983608469,0.941142030338896,0.0836854106485445,117.874396135266,-115.942028985507,336.231884057971,220.289855072464,0.626027544463074,23,0.350574712643678,ttops_ortho_dpf_00.35
all,20+,280,374,308,388,0.748663101604278,0.793814432989691,0.770577933450088,2.15278554098947,1.13965336663382,29.6885714285714,30.8282247952053,0.899578873575189,0.893954709806658,0.0725122643967196,28.9855072463768,3.86473429951691,148.792270531401,152.657004830918,0.865019615503893,23,0.194805194805195,ttops_ortho_dpf_00.35
overstory,10+,433,634,440,579,0.682965299684543,0.75993091537133,0.719395393709633,1.83425646334818,0.996241217562563,24.6127020785219,25.6089432960845,0.959117404403857,0.94171635934154,0.0745247903906018,31.8840579710145,-16.4251207729469,236.714975845411,220.289855072464,0.773483704981172,23,0.13469387755102,ttops_ortho_dpf_00.35
overstory,20+,281,331,300,388,0.848942598187311,0.77319587628866,0.809300718098383,2.00454242611271,0.972742189291958,29.6672597864769,30.6400019757688,0.914276512191808,0.89097176799796,0.0675674949604355,27.0531400966184,23.1884057971014,129.468599033816,152.657004830918,0.875663061112955,23,0.208955223880597,ttops_ortho_dpf_00.35
