canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,437,868,436,544,0.503456221198157,0.801470588235294,0.61843369426917,1.9633480626331,1.19380325692742,24.3524027459954,25.5462060029228,0.958991143959225,0.946288660548081,0.0806223551372549,129.951690821256,-128.019323671498,336.231884057971,208.212560386473,0.536377719540169,23,0.386494252873563,ttops_ortho_dpf_000.3
all,20+,273,374,296,363,0.729946524064171,0.815426997245179,0.770322635996625,2.02513528551374,1.06734527825436,29.8336996336996,30.901044911954,0.921480263321083,0.893978994089812,0.0678807962263649,31.4009661835749,-5.31400966183575,148.792270531401,143.478260869565,0.81365783544196,23,0.211038961038961,ttops_ortho_dpf_000.3
overstory,10+,421,634,421,544,0.66403785488959,0.773897058823529,0.714770797962649,1.8383097451543,1.01717848789097,24.7363420427553,25.7535205306463,0.963671520293676,0.945574079781754,0.0743161515949646,41.0628019323672,-28.5024154589372,236.714975845411,208.212560386473,0.684274557836697,23,0.173469387755102,ttops_ortho_dpf_000.3
overstory,20+,274,331,289,363,0.827794561933535,0.796143250688705,0.811660456844727,1.95439820881308,0.951387088664257,29.8448905109489,30.7962775996132,0.928071658068269,0.893456073440399,0.0654851860855742,27.536231884058,14.0096618357488,129.468599033816,143.478260869565,0.80791021247242,23,0.212686567164179,ttops_ortho_dpf_000.3
