canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,428,868,426,523,0.493087557603687,0.81453154875717,0.614300249994946,1.88026045839363,1.1838917083829399,24.2432242990654,25.4271160074484,0.964705833026585,0.949188438205641,0.0775581843074444,138.164251207729,-134.299516908213,336.231884057971,201.932367149758,0.484394275092447,23,0.410919540229885,ttops_ortho_dpf_000.2
all,20+,267,374,282,344,0.713903743315508,0.819767441860465,0.763181901112936,1.97057247947664,1.21127215324716,29.8546816479401,31.0659538011872,0.927447469279991,0.92504599712074,0.0660054762169138,33.3333333333333,-14.975845410628,148.792270531401,133.816425120773,0.810888316535607,23,0.224025974025974,ttops_ortho_dpf_000.2
overstory,10+,414,634,412,523,0.652996845425868,0.787762906309751,0.714076989094258,1.73753236618595,1.01272424591912,24.6176328502415,25.6303570961607,0.969479741958577,0.945941498295633,0.0705808059107884,46.3768115942029,-34.7826086956522,236.714975845411,201.932367149758,0.621432787978199,23,0.195918367346939,ttops_ortho_dpf_000.2
overstory,20+,268,331,278,344,0.809667673716012,0.808139534883721,0.808902882579664,1.86701823846618,1.12671223825483,29.860447761194,30.9871599994489,0.936168582080534,0.932191751327925,0.0625247904317266,23.6714975845411,4.34782608695652,129.468599033816,133.816425120773,0.799486643556768,23,0.182835820895522,ttops_ortho_dpf_000.2
