canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,294,868,300,333,0.338709677419355,0.900900900900901,0.492322119329504,1.94803751926033,1.29393714398754,25.5125850340136,26.8065221780011,0.960777405675578,0.950210699948367,0.0763559442002129,208.212560386473,-208.212560386473,336.231884057971,128.019323671498,0.437280138279538,23,0.619252873563218,ttops_ortho_dpf_02000
all,20+,201,374,212,229,0.537433155080214,0.925764192139738,0.680067349202423,2.07497893565923,1.31153685726337,30.326368159204,31.6379050164673,0.922798258678092,0.92310869093828,0.0684216100248548,58.9371980676329,-56.0386473429952,148.792270531401,92.7536231884058,0.733061050014524,23,0.396103896103896,ttops_ortho_dpf_02000
overstory,10+,295,634,300,333,0.465299684542587,0.900900900900901,0.613656456393988,1.85225043927209,1.15884790646828,25.5925423728814,26.7513902793496,0.963999486458375,0.945280704664752,0.0723746164912006,108.695652173913,-108.695652173913,236.714975845411,128.019323671498,0.479564647120052,23,0.459183673469388,ttops_ortho_dpf_02000
overstory,20+,204,331,212,229,0.61631419939577,0.925764192139738,0.739990418178085,2.01434979532279,1.22727930779551,30.2647058823529,31.4919851901484,0.92854202349858606,0.920902677143082,0.0665577191846209,40.5797101449275,-36.7149758454106,129.468599033816,92.7536231884058,0.757512165009078,23,0.313432835820896,ttops_ortho_dpf_02000
