canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,140,868,141,157,0.161290322580645,0.898089171974522,0.273467804499612,2.70807262693133,2.16655379431588,28.6314285714286,30.7979823657445,0.946003523607764,0.996539496031764,0.0945839157195853,277.294685990338,-277.294685990338,336.231884057971,58.9371980676328,-0.154880108113,23,0.824712643678161,ttops_ortho_dpf_04000
all,20+,112,374,121,132,0.299465240641711,0.916666666666667,0.45144741663613,2.65327352455684,1.99235917840685,31.84375,33.8361091784069,0.909546185354719,0.971642093214457,0.0833216415955043,98.0676328502416,-98.0676328502416,148.792270531401,50.7246376811594,0.241014463942595,23,0.659090909090909,ttops_ortho_dpf_04000
overstory,10+,140,634,141,157,0.220820189274448,0.898089171974522,0.354481297250705,2.54528439930507,1.97869665145874,28.8192857142857,30.7979823657445,0.949166370211311,0.988341159137155,0.0883187884855652,177.777777777778,-177.777777777778,236.714975845411,58.9371980676328,-0.0298946274944889,23,0.751020408163265,ttops_ortho_dpf_04000
overstory,20+,115,331,121,132,0.347432024169184,0.916666666666667,0.503883688508265,2.53833709716797,1.86414531541907,31.6573913043478,33.5215366197669,0.918593982198798,0.968606947125536,0.0801814992513092,78.743961352657,-78.743961352657,129.468599033816,50.7246376811594,0.269846238559413,23,0.608208955223881,ttops_ortho_dpf_04000
