canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,192,868,193,212,0.221198156682028,0.910377358490566,0.355917551914248,2.17133204440276,1.57913730641206,27.5979166666667,29.1770539730787,0.959734184831174,0.966464854157122,0.078677389696786,257.971014492754,-257.971014492754,336.231884057971,78.2608695652174,-0.0170509597290436,23,0.767241379310345,ttops_ortho_dpf_03000
all,20+,149,374,159,170,0.398395721925134,0.935294117647059,0.558776357375348,2.25133458079908,1.66900097123729,30.9496644295302,32.6186654007675,0.934969878850788,0.982474280903988,0.0727418090727665,85.024154589372,-85.024154589372,148.792270531401,63.768115942029,0.434093498420506,23,0.571428571428571,ttops_ortho_dpf_03000
overstory,10+,191,634,191,212,0.301261829652997,0.900943396226415,0.451536643026005,2.12673152204583,1.5811252164591,27.6314136125654,29.2125388290245,0.961372139902361,0.96842571691278,0.07696788705297,158.454106280193,-158.454106280193,236.714975845411,78.2608695652174,0.14733941080519,23,0.669387755102041,ttops_ortho_dpf_03000
overstory,20+,150,331,159,170,0.453172205438066,0.935294117647059,0.610528740928464,2.24157439931234,1.66312301381429,30.8793333333333,32.5424563471476,0.935796458998029,0.981615807469754,0.0725914117094174,65.7004830917874,-65.7004830917874,129.468599033816,63.768115942029,0.500804206348166,23,0.507462686567164,ttops_ortho_dpf_03000
