canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,372,868,378,450,0.428571428571429,0.84,0.567567567567568,2.07086086119375,1.29491788853881,24.8790322580645,26.1739501466033,0.953299382546713,0.95353310769957,0.0832371950690518,167.149758454106,-167.149758454106,336.231884057971,169.082125603865,0.236473744664395,23,0.497126436781609,ttops_ortho_dpf_01500
all,20+,243,374,265,312,0.649732620320856,0.849358974358974,0.736254187484994,2.12944336251467,1.15146267737871,29.9765432098765,31.1280058872553,0.909732534914213,0.906266354140188,0.0710369887416862,44.4444444444444,-29.951690821256,148.792270531401,118.840579710145,0.538329834453909,23,0.298701298701299,ttops_ortho_dpf_01500
overstory,10+,370,634,374,450,0.583596214511041,0.831111111111111,0.685701260604139,1.93820698557673,1.1390623623616,25.0443243243243,26.1833866866859,0.958304104017876,0.953525958980084,0.0773910671526581,70.5314009661836,-67.6328502415459,236.714975845411,169.082125603865,0.360973483199821,23,0.297959183673469,ttops_ortho_dpf_01500
overstory,20+,245,331,264,312,0.740181268882175,0.846153846153846,0.78962789334896,2.03513268918407,1.04077102972537,30.0257142857143,31.0664853154397,0.917563563418071,0.907439699859224,0.0677796594551742,32.8502415458937,-10.6280193236715,129.468599033816,118.840579710145,0.57498513370314,23,0.253731343283582,ttops_ortho_dpf_01500
