canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,513,868,513,728,0.591013824884793,0.70467032967033,0.642857142857143,2.08866136320386,0.989622276893601,23.7631578947368,24.7527801716304,0.94841347690893,0.941025741350219,0.0878949410872054,69.0821256038647,-54.5893719806763,336.231884057971,281.642512077295,0.729549085583235,23,0.205459770114943,ttops_ortho_dpf_01000
all,20+,308,374,331,469,0.823529411764706,0.705756929637527,0.760108258837038,2.22315078772508,0.848342915943691,29.5516233766234,30.3999662925671,0.894352041158163,0.876575594585248,0.075229396347941,43.9613526570048,34.2995169082126,148.792270531401,183.091787439614,0.858600961558633,23,0.295454545454545,ttops_ortho_dpf_01000
overstory,10+,483,634,484,728,0.761829652996845,0.664835164835165,0.710035232657028,1.90930019362866,0.78293379671085,24.2051759834369,24.9881097801477,0.953500843860319,0.940467668070636,0.0788798311127819,46.8599033816425,44.9275362318841,236.714975845411,281.642512077295,0.833461996931148,23,0.197959183673469,ttops_ortho_dpf_01000
overstory,20+,303,331,317,469,0.915407854984894,0.67590618336887,0.777633847972344,2.09976975469306,0.714563656797504,29.5917491749175,30.306312831715,0.901626183234292,0.877654643250643,0.0709579464965479,54.5893719806763,53.6231884057971,129.468599033816,183.091787439614,0.830148173082846,23,0.421641791044776,ttops_ortho_dpf_01000
