canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,692,868,703,2750,0.797235023041475,0.255636363636364,0.387136101963868,2.58586073142256,0.90643155423203,22.4336705202312,23.3401020744632,0.915575167968422,0.901012588176953,0.115266947916105,739.613526570048,739.613526570048,336.231884057971,1075.84541062802,0.641589965098317,23,2.19971264367816,ttops_ortho_dpf_00500
all,20+,370,374,411,1878,0.989304812834225,0.218849840255591,0.358413055313974,2.77770547712171,0.651628480859705,28.8559459459459,29.5075744268057,0.821803678586069,0.8104850448,0.0962611131281233,598.067632850242,598.067632850242,148.792270531401,746.859903381643,0.688023505677826,23,4.01948051948052,ttops_ortho_dpf_00500
overstory,10+,575,634,575,2750,0.906940063091483,0.209090909090909,0.33983451536643,2.32605022297735,0.447049182062564,23.2038260869565,23.6508752690191,0.927196863377255,0.909661378504022,0.100244253437362,839.130434782609,839.130434782609,236.714975845411,1075.84541062802,0.639963165659493,23,3.54489795918367,ttops_ortho_dpf_00500
overstory,20+,331,331,345,1878,1,0.18370607028754,0.310391363022942,2.56699376985026,0.321825633668467,29.1664652567976,29.4882908904661,0.84375767709747,0.82450461165488,0.088011822730284,617.391304347826,617.391304347826,129.468599033816,746.859903381643,0.68859859519546,23,4.76865671641791,ttops_ortho_dpf_00500
