predicted_tree_id,predicted_tree_height,predicted_tree_internal_area,observed_tree_id,observed_tree_height,observed_tree_internal_area,height_err
1,34.198978424072266,TRUE,681,35.5,TRUE,-1.3010215759277344
2,8.120588302612305,TRUE,1903,8.2,TRUE,-0.0794116973876946
3,33.54507827758789,TRUE,870,33.3,TRUE,0.24507827758789347
4,25.817237854003906,TRUE,774,25,TRUE,0.81723785400390625
5,34.25727844238281,FALSE,1200,32.6,FALSE,1.657278442382811
8,24.558658599853516,TRUE,1923,22.6,TRUE,1.9586585998535142
9,35.436771392822266,TRUE,334,29.5,TRUE,5.936771392822266
10,31.70694351196289,FALSE,1033,26.4,FALSE,5.306943511962892
12,21.912513732910156,TRUE,1924,20.7,TRUE,1.212513732910157
15,32.88386917114258,TRUE,1766,31.4,TRUE,1.4838691711425795
18,32.23511505126953,FALSE,116,31.2,FALSE,1.035115051269532
19,36.65672302246094,TRUE,1402,36.4,TRUE,0.2567230224609389
20,15.242977142333984,TRUE,254,18.4,TRUE,-3.157022857666014
21,20.317800521850586,TRUE,246,21,TRUE,-0.6821994781494141
22,11.325193405151367,FALSE,387,10.6,FALSE,0.7251934051513675
23,35.42619705200195,TRUE,1967,34.2,TRUE,1.2261970520019503
24,13.020796775817871,TRUE,989,10.5,TRUE,2.520796775817871
25,25.586881637573242,TRUE,825,25.5,TRUE,0.08688163757324219
26,38.712623596191406,TRUE,1936,38.2,TRUE,0.5126235961914034
28,12.019845008850098,TRUE,660,12,TRUE,0.019845008850097656
30,39.14759826660156,TRUE,647,45.4,TRUE,-6.252401733398436
32,13.310534477233887,FALSE,1032,11.2,FALSE,2.1105344772338874
33,24.974409103393555,TRUE,708,23.7,TRUE,1.2744091033935554
35,17.917993545532227,TRUE,1302,16.3,TRUE,1.6179935455322259
36,8.936897277832031,TRUE,1521,6.5,TRUE,2.4368972778320312
38,12.86043930053711,TRUE,662,12.4,TRUE,0.460439300537109
43,47.763484954833984,TRUE,1730,44.7,TRUE,3.0634849548339815
44,12.82788372039795,TRUE,1777,12.1,TRUE,0.7278837203979496
45,20.881160736083984,FALSE,1890,20.2,FALSE,0.6811607360839851
46,36.84273910522461,FALSE,1201,35.6,FALSE,1.242739105224608
48,45.20336151123047,TRUE,1352,43.2,TRUE,2.003361511230466
49,14.601845741271973,TRUE,272,14.9,TRUE,-0.2981542587280277
50,18.1569766998291,TRUE,385,15,TRUE,3.1569766998291016
51,37.936519622802734,TRUE,1639,35.6,TRUE,2.336519622802733
55,16.657957077026367,TRUE,964,14.8,TRUE,1.8579570770263665
56,28.013181686401367,TRUE,274,28,TRUE,0.013181686401367188
57,35.282230377197266,TRUE,1425,32.2,TRUE,3.082230377197263
58,12.239374160766602,TRUE,193,13.3,TRUE,-1.0606258392333991
59,16.948091506958008,FALSE,1161,13.5,FALSE,3.448091506958008
60,35.52499008178711,FALSE,1176,29.3,FALSE,6.224990081787109
63,31.429170608520508,TRUE,223,32.1,TRUE,-0.6708293914794936
65,29.87330436706543,TRUE,596,29.2,TRUE,0.6733043670654304
67,26.19635772705078,TRUE,778,24,TRUE,2.1963577270507812
68,34.49729537963867,FALSE,2052,34.1,FALSE,0.39729537963867045
69,9.787501335144043,TRUE,884,9.8,TRUE,-0.012498664855957742
71,12.00205135345459,TRUE,856,11.7,TRUE,0.30205135345459055
72,41.99857711791992,FALSE,1686,39.8,FALSE,2.1985771179199247
73,15.057868003845215,TRUE,1114,13.5,TRUE,1.5578680038452148
75,25.08629608154297,TRUE,897,24.4,TRUE,0.6862960815429702
81,25.332469940185547,TRUE,184,25.3,TRUE,0.032469940185546164
82,13.372700691223145,TRUE,1500,13,TRUE,0.37270069122314453
83,7.073361396789551,FALSE,2115,6.5,FALSE,0.5733613967895508
84,12.537677764892578,TRUE,925,12.9,TRUE,-0.36232223510742223
85,7.740565776824951,TRUE,1102,6.8,TRUE,0.9405657768249513
88,32.7207145690918,TRUE,814,31.2,TRUE,1.5207145690917976
90,33.09538650512695,FALSE,1868,33.2,FALSE,-0.10461349487304972
91,12.990973472595215,FALSE,2136,13,FALSE,-0.009026527404785156
95,15.40695858001709,FALSE,2122,15.5,FALSE,-0.09304141998291016
96,25.907058715820312,TRUE,1582,25.1,TRUE,0.8070587158203111
97,19.51547622680664,FALSE,1180,17,FALSE,2.5154762268066406
98,33.075294494628906,FALSE,1168,26.7,FALSE,6.375294494628907
100,20.69645881652832,FALSE,2116,19.6,FALSE,1.096458816528319
101,10.71023178100586,TRUE,892,10.9,TRUE,-0.18976821899414098
102,36.73552322387695,FALSE,1802,35,FALSE,1.7355232238769531
