predicted_tree_id,predicted_tree_height,predicted_tree_internal_area,observed_tree_id,observed_tree_height,observed_tree_internal_area,height_err
3,19.89564323425293,TRUE,1281,18.7,TRUE,1.1956432342529304
4,14.601845741271973,TRUE,272,14.9,TRUE,-0.2981542587280277
9,19.99098014831543,FALSE,2118,19.6,FALSE,0.39098014831542827
11,12.019845008850098,TRUE,660,12,TRUE,0.019845008850097656
15,10.84015941619873,FALSE,125,11.2,FALSE,-0.3598405838012688
16,12.53185749053955,TRUE,731,12,TRUE,0.5318574905395508
17,13.82225513458252,FALSE,1089,11.6,FALSE,2.22225513458252
18,19.068918228149414,TRUE,761,19.1,TRUE,-0.03108177185058736
21,28.544147491455078,FALSE,955,28.1,FALSE,0.4441474914550767
24,36.64943313598633,TRUE,558,31.6,TRUE,5.049433135986327
27,22.438386917114258,TRUE,1,26.2,TRUE,-3.7616130828857415
28,15.451415061950684,FALSE,945,15.8,FALSE,-0.3485849380493171
29,21.491804122924805,TRUE,636,20.3,TRUE,1.191804122924804
31,11.325193405151367,FALSE,387,10.6,FALSE,0.7251934051513675
34,26.692108154296875,TRUE,1714,26.4,TRUE,0.2921081542968764
35,17.96405601501465,TRUE,2058,23.2,TRUE,-5.235943984985351
37,29.49257469177246,FALSE,1612,29,FALSE,0.49257469177246094
39,10.634660720825195,FALSE,392,9.7,FALSE,0.934660720825196
40,14.892364501953125,FALSE,545,14,FALSE,0.892364501953125
43,5.714119911193848,TRUE,872,5.3,TRUE,0.41411991119384783
50,8.120588302612305,TRUE,1903,8.2,TRUE,-0.0794116973876946
51,16.659141540527344,TRUE,967,14.4,TRUE,2.2591415405273434
52,13.016115188598633,TRUE,1269,16.8,TRUE,-3.783884811401368
56,25.586881637573242,TRUE,825,25.5,TRUE,0.08688163757324219
58,20.181154251098633,TRUE,290,19.9,TRUE,0.28115425109863423
63,9.144129753112793,TRUE,1315,8.6,TRUE,0.5441297531127933
65,25.332469940185547,TRUE,184,25.3,TRUE,0.032469940185546164
68,32.25691604614258,TRUE,2101,33.5,TRUE,-1.2430839538574219
69,14.397111892700195,TRUE,373,12.3,TRUE,2.0971118927001946
71,12.991392135620117,FALSE,457,12,FALSE,0.9913921356201172
73,38.712623596191406,TRUE,1936,38.2,TRUE,0.5126235961914034
76,25.817237854003906,TRUE,774,25,TRUE,0.81723785400390625
77,18.85774803161621,TRUE,760,18.4,TRUE,0.45774803161621236
79,18.1569766998291,TRUE,385,15,TRUE,3.1569766998291016
81,20.054615020751953,FALSE,1630,19.1,FALSE,0.9546150207519517
84,7.740565776824951,TRUE,1102,6.8,TRUE,0.9405657768249513
85,15.242977142333984,TRUE,254,18.4,TRUE,-3.157022857666014
86,21.492630004882812,TRUE,1075,17.6,TRUE,3.892630004882811
87,23.27056884765625,TRUE,1963,22.6,TRUE,0.6705688476562486
88,6.266767978668213,FALSE,420,7.6,FALSE,-1.3332320213317868
90,14.189693450927734,FALSE,482,15.3,FALSE,-1.1103065490722663
91,29.265817642211914,TRUE,785,27.8,TRUE,1.4658176422119134
94,13.834077835083008,TRUE,1267,17,TRUE,-3.165922164916992
