canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,327,868,326,599,0.376728110599078,0.54424040066778,0.44525009345482103,2.97341656845279,0.876126330489412,25.5195718654434,26.3956981959328,0.906223651708339,0.916330441878126,0.116515143127427,102.898550724638,-88.4057971014493,336.231884057971,247.826086956522,0.115366791381583,23,0.306034482758621,ttops_ortho_dpf_000.8
all,20+,227,374,236,441,0.606951871657754,0.535147392290249,0.568792436203025,3.15740661453045,0.515775640210391,30.1281938325991,30.6439694728095,0.819170838885825,0.802723642260528,0.104799067347811,68.5990338164251,38.6473429951691,148.792270531401,187.43961352657,0.385487619903813,23,0.461038961038961,ttops_ortho_dpf_000.8
overstory,10+,317,634,314,599,0.5,0.524207011686144,0.511817440912795,2.88587722266886,0.62153597479739,25.8867507886435,26.5082867634409,0.907588543875977,0.907992007570685,0.111480859310273,51.6908212560387,11.1111111111111,236.714975845411,247.826086956522,0.280385632248109,23,0.218367346938776,ttops_ortho_dpf_000.8
overstory,20+,226,331,229,441,0.682779456193353,0.519274376417234,0.589906819023737,3.12807109123838,0.331379713210384,30.2477876106195,30.5791673238299,0.81984932740601,0.788583234264906,0.103414872238132,67.6328502415459,57.9710144927536,129.468599033816,187.43961352657,0.450905157785448,23,0.522388059701493,ttops_ortho_dpf_000.8
