canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,111,868,113,275,0.127880184331797,0.410909090909091,0.195056333538088,3.24487666568241,0.829594246116845,24.9918918918919,25.8214861380087,0.88396025128113,0.911437886143434,0.129837175981669,240.579710144928,-225.12077294686,336.231884057971,111.111111111111,-0.0661975808442521,23,0.71551724137931,ttops_ortho_dpf_00.55
all,20+,76,374,78,191,0.203208556149733,0.408376963350785,0.271378868339132,3.41157999038696,0.170383217460231,29.5434210526316,29.7138042700918,0.796847742722524,0.765337283789926,0.115476809009669,128.985507246377,-71.9806763285024,148.792270531401,76.8115942028985,-0.155786451597781,23,0.866883116883117,ttops_ortho_dpf_00.55
overstory,10+,109,634,110,275,0.17192429022082,0.4,0.240485383342526,3.09410315172388,0.661658745511956,25.2211009174312,25.8827596629431,0.887626040367757,0.8981062707686,0.122679147189227,168.115942028986,-125.6038647343,236.714975845411,111.111111111111,0.0775700861507974,23,0.710204081632653,ttops_ortho_dpf_00.55
overstory,20+,75,331,77,191,0.226586102719033,0.403141361256544,0.290113533607957,3.3081071879069,0.116558583577474,29.6933333333333,29.8098919169108,0.803448747397727,0.766074671095443,0.111409088052545,116.425120772947,-52.6570048309179,129.468599033816,76.8115942028985,-0.131192349360966,23,0.899253731343284,ttops_ortho_dpf_00.55
