canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,298,868,291,590,0.34331797235023,0.493220338983051,0.404838378368284,2.59432567077995,0.498463630996295,26.1305369127517,26.629000543748,0.92504075644619,0.944749634172167,0.0992832898704781,109.178743961353,-94.6859903381642,336.231884057971,241.545893719807,0.364204121523547,23,0.324712643678161,ttops_ortho_dpf_00.75
all,20+,214,374,223,432,0.572192513368984,0.516203703703704,0.542758032413989,2.54276749708942,0.0138198326681262,30.4626168224299,30.476436655098,0.879096113987305,0.852684132194044,0.0834717356001129,63.2850241545894,28.5024154589372,148.792270531401,177.294685990338,0.50218031566226,23,0.425324675324675,ttops_ortho_dpf_00.75
overstory,10+,291,634,281,590,0.458990536277603,0.476271186440678,0.467471215741874,2.44346194545838,0.217736208479839,26.2556701030928,26.4734063115726,0.931417443125341,0.930562738302334,0.0930641623643248,60.8695652173913,4.83091787439614,236.714975845411,241.545893719807,0.295690641866284,23,0.257142857142857,ttops_ortho_dpf_00.75
overstory,20+,210,331,215,432,0.634441087613293,0.497685185185185,0.557803378941842,2.44369724818638,-0.0865801638648623,30.4771428571429,30.390562693278,0.888353216533031,0.859376590445816,0.0801813102901692,65.2173913043478,47.8260869565217,129.468599033816,177.294685990338,0.474667568683267,23,0.503731343283582,ttops_ortho_dpf_00.75
