canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,267,868,274,555,0.307603686635945,0.493693693693694,0.379040301333879,3.07168244922652,0.381121170386839,25.6880149812734,26.0691361516602,0.89085306356954,0.901717179655918,0.119576481540741,125.6038647343,-123.671497584541,336.231884057971,212.56038647343,0.502281679378464,23,0.373563218390805,ttops_ortho_dpf_00.95
all,20+,182,374,199,387,0.486631016042781,0.51421188630491,0.500041419301394,3.28147808640868,0.153320625850133,30.143956043956,30.2972766698062,0.804994594434319,0.83356032863143,0.108860233262801,42.512077294686,4.83091787439613,148.792270531401,153.623188405797,0.679701209386444,23,0.285714285714286,ttops_ortho_dpf_00.95
overstory,10+,258,634,268,555,0.406940063091483,0.482882882882883,0.441670765437461,2.86135544592096,0.0715477211530818,26.2341085271318,26.3056562482849,0.900957849266818,0.931187369465602,0.109070046842327,43.4782608695652,-24.1545893719807,236.714975845411,212.56038647343,0.630318268784322,23,0.183673469387755,ttops_ortho_dpf_00.95
overstory,20+,182,331,196,387,0.549848942598187,0.506459948320413,0.527263321262287,3.04797747790158,-0.295321178436279,30.4307692307692,30.135448052333,0.827219122360463,0.852009800909605,0.100161039465927,42.512077294686,24.1545893719807,129.468599033816,153.623188405797,0.698330545028724,23,0.328358208955224,ttops_ortho_dpf_00.95
