canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,89,868,93,202,0.102534562211982,0.46039603960395997,0.167716966221556,2.79085911740078,0.667017152336207,23.052808988764,23.7198261411003,0.903768204013111,0.900778112911762,0.121063733220583,269.082125603865,-258.454106280193,336.231884057971,77.7777777777778,-0.192222008640235,23,0.800287356321839,ttops_ortho_dpf_000.5
all,20+,53,374,58,138,0.141711229946524,0.420289855072464,0.211956147004068,2.86623387246762,0.317607645718557,28.622641509434,28.9402491551525,0.794051739599046,0.76522332577999,0.100138691655098,138.164251207729,-93.719806763285,148.792270531401,55.0724637681159,-0.251696519607558,23,0.928571428571428,ttops_ortho_dpf_000.5
overstory,10+,89,634,91,202,0.140378548895899,0.450495049504951,0.214055396976425,2.96401175595401,0.188794198196926,23.2213483146067,23.4101425128037,0.889791823862881,0.860234449991699,0.127641673334256,187.92270531401,-158.937198067633,236.714975845411,77.7777777777778,-0.0574300307033832,23,0.793877551020408,ttops_ortho_dpf_000.5
overstory,20+,53,331,56,138,0.16012084592145,0.405797101449275,0.22963249516441,3.1314245727827,-0.312701131712715,28.8264150943396,28.5137139626269,0.782156605430295,0.662835572573436,0.108630385101115,123.671497584541,-74.3961352657005,129.468599033816,55.0724637681159,-0.269647600495093,23,0.955223880597015,ttops_ortho_dpf_000.5
