canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,146,868,147,322,0.168202764976959,0.456521739130435,0.245830660679923,3.00229782274325,0.802666828077133,25.5267123287671,26.3293791568443,0.90039356276862,0.938380085119993,0.11761396391653,220.289855072464,-205.797101449275,336.231884057971,130.434782608696,-0.142754541676824,23,0.655172413793104,ttops_ortho_dpf_000.6
all,20+,100,374,117,239,0.267379679144385,0.489539748953975,0.345857104850868,2.61283868217468,0.0365841617584229,30.031,30.0675841617584,0.869248664601303,0.883963386114196,0.0870047178640299,118.840579710145,-51.207729468599,148.792270531401,97.5845410628019,-0.20887769645632,23,0.798701298701299,ttops_ortho_dpf_000.6
overstory,10+,143,634,143,322,0.225552050473186,0.444099378881988,0.299163179916318,2.95318754836396,0.404938738496154,25.9433566433566,26.3482953818528,0.901111694571223,0.911690242934564,0.113832130088694,140.096618357488,-106.280193236715,236.714975845411,130.434782608696,-0.0318215137093773,23,0.591836734693878,ttops_ortho_dpf_000.6
overstory,20+,102,331,114,239,0.308157099697885,0.476987447698745,0.374420401854714,2.70598817152135,-0.127747406679041,30.0117647058824,29.8840172992033,0.863880362627822,0.857009235373074,0.0901642471890691,107.246376811594,-31.8840579710145,129.468599033816,97.5845410628019,-0.17584245707878501,23,0.828358208955224,ttops_ortho_dpf_000.6
