canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,213,868,215,460,0.245391705069124,0.467391304347826,0.321820098383696,2.77406694206274,0.00180001684197809,25.7708920187793,25.7726920356213,0.904783068913243,0.930331366966673,0.107643419561933,168.115942028986,-141.062801932367,336.231884057971,195.169082125604,-0.199230711183033,23,0.5,ttops_ortho_dpf_00.65
all,20+,151,374,146,310,0.403743315508021,0.470967741935484,0.434772319403633,3.02036148096552,-0.530921093517581,29.9311258278146,29.400204734297,0.839712291690263,0.803668675225815,0.100910386677094,107.246376811594,-18.3574879227053,148.792270531401,130.434782608696,-0.229185013618493,23,0.720779220779221,ttops_ortho_dpf_00.65
overstory,10+,206,634,206,460,0.324921135646688,0.447826086956522,0.376599634369287,2.64652250067702,-0.226151546922702,26.2033980582524,25.9772465113297,0.908795137651585,0.918095004380005,0.100999209903752,123.671497584541,-41.5458937198068,236.714975845411,195.169082125604,-0.12969653484874,23,0.522448979591837,ttops_ortho_dpf_00.65
overstory,20+,151,331,144,310,0.45619335347432,0.464516129032258,0.460317124288164,2.94928082093498,-0.603276880529543,29.9264900662252,29.3232131856956,0.846925709559383,0.805569234413319,0.0985508428956564,97.5845410628019,0.966183574879226,129.468599033816,130.434782608696,-0.178062516901505,23,0.753731343283582,ttops_ortho_dpf_00.65
