canopy_position,height_cat,n_observed_matched_predicted,n_observed,n_predicted_matched_observed,n_predicted,sensitivity,precision,f_score,height_mae,height_bias,height_mean_observed,height_mean_predicted,height_cor,height_slope,height_mae_percent,area_density_mae,area_density_bias,mean_observed_treedensity,mean_predicted_treedensity,area_density_correlation,n_virtual_plots,area_density_mae_percent,predicted_tree_dataset_name
all,10+,319,868,321,602,0.367511520737327,0.533222591362126,0.435123845784484,2.73425609026583,0.47572574794853,26.1583072100313,26.6340329579799,0.910172833549173,0.931291570356197,0.104527256611517,103.864734299517,-93.2367149758454,336.231884057971,242.995169082126,0.499382547775654,23,0.308908045977011,ttops_ortho_dpf_00.85
all,20+,228,374,237,422,0.609625668449198,0.561611374407583,0.584634360089584,2.8915668830537,0.189685954545674,30.3714912280702,30.5611771826159,0.832735827828953,0.84529791286931,0.0952066153531911,46.3768115942029,23.1884057971014,148.792270531401,171.980676328502,0.727214082485263,23,0.311688311688312,ttops_ortho_dpf_00.85
overstory,10+,312,634,313,602,0.49211356466877,0.519933554817276,0.505641190267846,2.70153687856136,0.327531960682991,26.236217948718,26.5637499094009,0.91071122749402,0.925839100136622,0.102969752875276,47.8260869565217,6.28019323671498,236.714975845411,242.995169082126,0.460027314160325,23,0.202040816326531,ttops_ortho_dpf_00.85
overstory,20+,225,331,231,422,0.6797583081571,0.54739336492891,0.60643715980888,2.84560132598877,0.0108644468519423,30.3506666666667,30.3615311135186,0.839761169692121,0.83232233780688,0.0937574570351701,54.1062801932367,42.512077294686,129.468599033816,171.980676328502,0.697756356845554,23,0.417910447761194,ttops_ortho_dpf_00.85
